ExpireTime,RaidId,AllyCode,Name,Score,Rank
11/28/2023 17:30:49 +00:00,speederbike,334861731,JediAhsoka,2432500,48
11/28/2023 17:30:49 +00:00,speederbike,175993797,El Jefe,4513500,34
11/28/2023 17:30:49 +00:00,speederbike,749275383,Dava,4537000,32
11/28/2023 17:30:49 +00:00,speederbike,585576166,Patrick4,4289500,37
11/28/2023 17:30:49 +00:00,speederbike,793549187,Dârth Jungle Asian,6782500,11
11/28/2023 17:30:49 +00:00,speederbike,132898449,Jay Maop,2625000,47
11/28/2023 17:30:49 +00:00,speederbike,255925733,Fidget92,614000,50
11/28/2023 17:30:49 +00:00,speederbike,729916753,Squanchy420,5454500,21
11/28/2023 17:30:49 +00:00,speederbike,346854538,Tyron Brandt,6398000,14
11/28/2023 17:30:49 +00:00,speederbike,858966128,T,7200000,8
11/28/2023 17:30:49 +00:00,speederbike,924462567,non7top,6002250,17
11/28/2023 17:30:49 +00:00,speederbike,312333279,Excessive Fist,3784250,39
11/28/2023 17:30:49 +00:00,speederbike,124165769,Tyrian,2679000,45
11/28/2023 17:30:49 +00:00,speederbike,964121997,DarthDax,6504000,13
11/28/2023 17:30:49 +00:00,speederbike,492564869,OwningXylophone,8968000,3
11/28/2023 17:30:49 +00:00,speederbike,371731743,Trask droll,3214500,42
11/28/2023 17:30:49 +00:00,speederbike,197788324,Skaar,11298000,1
11/28/2023 17:30:49 +00:00,speederbike,678195521,XCAL,8589000,4
11/28/2023 17:30:49 +00:00,speederbike,478966819,Lambert,4693750,30
11/28/2023 17:30:49 +00:00,speederbike,336698836,Jonesmalones,9145500,2
11/28/2023 17:30:49 +00:00,speederbike,834874213,BobbyMarshal,4801000,27
11/28/2023 17:30:49 +00:00,speederbike,471792187,Geralt of Rivia,1732000,49
11/28/2023 17:30:49 +00:00,speederbike,475136137,WharfRat,4706500,29
11/28/2023 17:30:49 +00:00,speederbike,643373276,Avatany,5671500,19
11/28/2023 17:30:49 +00:00,speederbike,685711659,MINI DarthAzazel,3623000,40
11/28/2023 17:30:49 +00:00,speederbike,312478199,Taco Hat,3178250,43
11/28/2023 17:30:49 +00:00,speederbike,452238138,Yosh,2799000,44
11/28/2023 17:30:49 +00:00,speederbike,396743814,Rhil Margos,6638000,12
11/28/2023 17:30:49 +00:00,speederbike,389689423,ArtVandalay,6965750,9
11/28/2023 17:30:49 +00:00,speederbike,256121811,JHang,2667500,46
11/22/2023 17:51:23 +00:00,speederbike,197788324,Skaar,10368000,1
11/22/2023 17:51:23 +00:00,speederbike,346854538,Tyron Brandt,5427750,17
11/22/2023 17:51:23 +00:00,speederbike,749275383,Dava,4971000,22
11/22/2023 17:51:23 +00:00,speederbike,793549187,Dârth Jungle Asian,6053000,11
11/22/2023 17:51:23 +00:00,speederbike,452238138,Yosh,2211250,47
11/22/2023 17:51:23 +00:00,speederbike,336698836,Jonesmalones,7538500,4
11/22/2023 17:51:23 +00:00,speederbike,862389575,Enigma,5436250,16
11/22/2023 17:51:23 +00:00,speederbike,855527258,BobaChuck91,3291500,38
11/22/2023 17:51:23 +00:00,speederbike,678195521,XCAL,7461500,5
11/22/2023 17:51:23 +00:00,speederbike,814134474,RoTahn Taske,3515000,37
11/22/2023 17:51:23 +00:00,speederbike,834874213,BobbyMarshal,5053500,20
11/22/2023 17:51:23 +00:00,speederbike,964121997,DarthDax,6910500,7
11/22/2023 17:51:23 +00:00,speederbike,443495965,Verage Valoor,7544000,3
11/22/2023 17:51:23 +00:00,speederbike,452518631,Puck,5152000,19
11/22/2023 17:51:23 +00:00,speederbike,492564869,OwningXylophone,6921000,6
11/22/2023 17:51:23 +00:00,speederbike,299292257,G4reth,4513250,28
11/22/2023 17:51:23 +00:00,speederbike,389689423,ArtVandalay,5877000,13
11/22/2023 17:51:23 +00:00,speederbike,938743519,Chikiller,4708500,25
11/22/2023 17:51:23 +00:00,speederbike,625367959,Blattu,6369500,10
11/22/2023 17:51:23 +00:00,speederbike,255925733,Fidget92,2772250,45
11/22/2023 17:51:23 +00:00,speederbike,768488681,Tranced,6631000,8
11/22/2023 17:51:23 +00:00,speederbike,381676275,Marl Jewel,2982000,43
11/22/2023 17:51:23 +00:00,speederbike,133674987,Tani Mayse,3687500,36
11/22/2023 17:51:23 +00:00,speederbike,471792187,Geralt of Rivia,1733500,48
11/22/2023 17:51:23 +00:00,speederbike,396743814,Rhil Margos,5526250,15
11/22/2023 17:51:23 +00:00,speederbike,312478199,Taco Hat,3069500,42
11/22/2023 17:51:23 +00:00,speederbike,394321369,Javin Fis,4337000,29
